,name1,name2,id1,id2,similarity_score
0,ahmed al‐rawi,ahmed al-rawi,A5050245548,A5093769593,92
1,gail s anderson,jillian anderson,A5046194198,A5042564012,71
2,gail s anderson,a m anderson,A5046194198,A5043746917,81
3,gail s anderson,sean c anderson,A5046194198,A5081686405,73
4,gail s anderson,aspen anderson,A5046194198,A5019882570,76
5,gail s anderson,nicole anderson,A5046194198,A5109759271,73
6,george e allen,george r agnes,A5006221782,A5054759610,71
7,s bruce archibald,s bruce archibald,A5075000677,A5108658458,100
8,d g armstrong,kyle m armstrong,A5109229854,A5071425274,76
9,vinícius c azevedo,vinicius c azevedo,A5112368463,A5103260690,94
10,mehran ahmadi,simran ahmed,A5102137892,A5065397864,72
11,matthew amy,matthew amy,A5042673679,A5092679926,100
12,olivia aguiar,ivan a aguliar,A5101510074,A5035463939,74
13,jillian anderson,a m anderson,A5042564012,A5043746917,71
14,jillian anderson,sean c anderson,A5042564012,A5081686405,71
15,jillian anderson,aspen anderson,A5042564012,A5019882570,73
16,jillian anderson,nicole anderson,A5042564012,A5109759271,71
17,zayed ahmed,ahmed sayed ahmed,A5048910472,A5082713680,71
18,scott c anderson,a m anderson,A5081601519,A5043746917,71
19,scott c anderson,sean c anderson,A5081601519,A5081686405,77
20,scott c anderson,nicole anderson,A5081601519,A5109759271,71
21,niloufar aran,niloufar abhari,A5086077761,A5034158753,79
22,niloufar aran,neilofar amiri,A5086077761,A5088404611,74
23,ronda arab,ronda arab,A5071668228,A5092700665,100
24,a m anderson,sean c anderson,A5043746917,A5081686405,81
25,a m anderson,aspen anderson,A5043746917,A5019882570,77
26,shona adams,sarah adams,A5044850295,A5005097780,73
27,joshua d alampi,josh alampi,A5005530879,A5064096264,85
28,mehryar abbasi,mehryar abbasi,A5031764000,A5012315304,100
29,bita azari,n azari,A5040794159,A5048829739,71
30,sean c anderson,shelbie f anderson,A5081686405,A5037606234,73
31,sean c anderson,aspen anderson,A5081686405,A5019882570,83
32,nastaran arianpoo,n arianpoo,A5071435032,A5102728332,74
33,niloufar abhari,neilofar amiri,A5034158753,A5088404611,76
34,simran ahmed,erion ahmed,A5065397864,A5112846448,70
35,amirhossein alimohammadi,amirhossein alizadehkhaledi,A5035619284,A5019710534,75
36,nadra ansari,neda anvari,A5058829130,A5085378218,78
37,neda anvari,neda afzali,A5085378218,A5093691199,73
38,jonathan m borwein,john h borden,A5088720034,A5074800507,71
39,j c burzynski,jackson carl burzynski,A5039744323,A5107903626,74
40,j c burzynski,j c burzynski,A5039744323,A5032934650,100
41,j c burzynski,j c burzynski,A5039744323,A5105843690,100
42,j c burzynski,j c burzynski,A5039744323,A5107904219,100
43,j c burzynski,j c burzynski,A5039744323,A5107901827,100
44,j c burzynski,j c burzynski,A5039744323,A5107459251,100
45,s beale,s beaupre,A5113500609,A5109835861,75
46,zabrina l brumme,zl brumme,A5054186329,A5084001641,72
47,zabrina l brumme,zl brumme,A5054186329,A5010693015,72
48,mirza faisal beg,mirza faisal beg,A5000972836,A5102760369,100
49,mirza faisal beg,mirzafaisal beg,A5000972836,A5104015115,97
50,ivan v bajić,lvan v bajic,A5012187461,A5093208285,83
51,robert britton,robert beringer,A5014010162,A5080379500,76
52,mark a brockman,ma brockman,A5021397351,A5062945775,85
53,mark a brockman,ma brockman,A5021397351,A5040066274,85
54,jackson carl burzynski,j c burzynski,A5107903626,A5032934650,74
55,jackson carl burzynski,j c burzynski,A5107903626,A5105843690,74
56,jackson carl burzynski,j c burzynski,A5107903626,A5107904219,74
57,jackson carl burzynski,j c burzynski,A5107903626,A5107901827,74
58,jackson carl burzynski,j c burzynski,A5107903626,A5107459251,74
59,h bahrasemani,h bahrasemani,A5107882155,A5107883906,100
60,h bahrasemani,h bahrasemani,A5107882155,A5110576607,100
61,h bahrasemani,h bahrasemani,A5107882155,A5112345073,100
62,h bahrasemani,h bahrasemani,A5107882155,A5107895189,100
63,h bahrasemani,h bahrasemani,A5107882155,A5107440263,100
64,h bahrasemani,h bahrasemani,A5107882155,A5107907827,100
